Variance,BER_QPSK,BER_QAM16,BER_QAM64
0.05,0,0,0
0.1,8.33333e-06,8.33333e-06,0
0.15,0.000125,0.0001,0.000108333
0.2,0.000883333,0.000516667,0.000383333
0.25,0.00235,0.00169167,0.00151667
0.3,0.00474167,0.00356667,0.002675
0.35,0.0086,0.00616667,0.00503333
0.4,0.0127,0.00980833,0.00751667
0.45,0.018,0.01315,0.00990833
0.5,0.0227167,0.016775,0.0134167
0.55,0.0281,0.0215417,0.0168417
0.6,0.0340333,0.0249833,0.0198083
0.65,0.0393833,0.0298083,0.0235
0.7,0.0452917,0.034575,0.026325
0.75,0.0506083,0.0381917,0.0302
0.8,0.05565,0.042,0.0329917
0.85,0.0622833,0.0469917,0.0363667
0.9,0.06725,0.050975,0.0393167
0.95,0.0719417,0.0550917,0.0434833
1,0.0791833,0.0590083,0.0447667
1.05,0.084075,0.062175,0.048
1.1,0.0895333,0.0659,0.050325
1.15,0.0934,0.0696833,0.0548583
1.2,0.0992917,0.0733917,0.0575417
1.25,0.102683,0.076675,0.0603333
1.3,0.106792,0.080975,0.06325
1.35,0.112,0.0835917,0.0656583
1.4,0.115767,0.0870917,0.0683667
1.45,0.120192,0.0911667,0.07035
1.5,0.125325,0.0932917,0.0731417
1.55,0.128658,0.09625,0.074375
1.6,0.131883,0.0987083,0.0758667
1.65,0.13665,0.102242,0.07835
1.7,0.139633,0.105167,0.08005
1.75,0.140792,0.106975,0.0834917
1.8,0.145358,0.112133,0.0849083
1.85,0.148342,0.112383,0.08895
1.9,0.155142,0.115075,0.090125
1.95,0.156508,0.117742,0.0921917
2,0.158958,0.117792,0.0930333
2.05,0.162425,0.1214,0.0954667
2.1,0.162175,0.123658,0.0975333
2.15,0.1675,0.127783,0.0975167
2.2,0.170908,0.126408,0.1006
2.25,0.1725,0.132542,0.101008
2.3,0.175,0.130908,0.103108
2.35,0.178683,0.134333,0.105125
2.4,0.180975,0.136317,0.10705
2.45,0.182225,0.139342,0.108767
2.5,0.186917,0.1407,0.110992
2.55,0.187125,0.143708,0.112592
2.6,0.189342,0.144225,0.11285
2.65,0.192483,0.145683,0.114517
2.7,0.196917,0.149683,0.114542
2.75,0.197158,0.150967,0.118858
2.8,0.199808,0.150925,0.118758
2.85,0.203925,0.15365,0.121517
2.9,0.202292,0.156392,0.1203
2.95,0.207183,0.158408,0.124333
3,0.204567,0.157033,0.123767
3.05,0.210808,0.1608,0.125417
3.1,0.210467,0.162217,0.126817
3.15,0.211267,0.163192,0.128367
3.2,0.213425,0.164592,0.130225
3.25,0.216058,0.167633,0.131417
3.3,0.217767,0.1688,0.130975
3.35,0.2183,0.1689,0.132625
3.4,0.221025,0.172942,0.135808
3.45,0.223575,0.171217,0.136175
3.5,0.223683,0.172933,0.1374
3.55,0.226625,0.175117,0.138183
3.6,0.226517,0.175892,0.139617
3.65,0.231217,0.177892,0.140417
3.7,0.230533,0.180592,0.142383
3.75,0.2334,0.179525,0.143175
3.8,0.234042,0.182683,0.143558
3.85,0.235925,0.185533,0.144508
3.9,0.235692,0.184792,0.146617
3.95,0.238875,0.187167,0.148
4,0.240608,0.186025,0.150433
4.05,0.241533,0.18945,0.149192
4.1,0.243917,0.189842,0.149208
4.15,0.243733,0.190308,0.1523
4.2,0.244033,0.192975,0.15295
4.25,0.24645,0.1962,0.1538
4.3,0.248067,0.197167,0.155575
4.35,0.247133,0.196233,0.155475
4.4,0.249917,0.19835,0.1562
4.45,0.249833,0.20165,0.157683
4.5,0.252892,0.198783,0.159192
4.55,0.253925,0.20025,0.158142
4.6,0.2557,0.201508,0.159875
4.65,0.257492,0.201883,0.162492
4.7,0.25505,0.204067,0.162017
4.75,0.259017,0.2055,0.16645
4.8,0.257533,0.206617,0.16505
4.85,0.261475,0.206542,0.164475
4.9,0.261025,0.211767,0.165508
4.95,0.264233,0.211742,0.166792
5,0.262525,0.211967,0.167825
